Type,Name,Net Payment This Period,Comparable Payment Prior Year,Period Percent Change,Payment Year to Date,Prior Year Payment Year to Date,Year Percent Change,Report Period,Report Year,Report Period Type
COUNTY,Navarro,$13147.73,$12222.27,7.57%,$38952.18,$30970.89,25.77%,3,2014,"QUARTERLY"""
COUNTY,Throckmorton,$0.00,$0.00,0%,$0.00,$101.82,-100%,2,2014,"QUARTERLY"""
COUNTY,Smith,$123681.13,$105494.63,17.24%,$501403.76,$402620.88,24.53%,4,2014,"QUARTERLY"""
CITY,Sunrise Beach,$417.95,$358.54,16.57%,$1513.68,$1250.91,21.01%,4,2013,"QUARTERLY"""
CITY,Lindale,$3216.77,$2440.99,31.78%,$11389.04,$10372.74,9.8%,4,2013,"QUARTERLY"""
CITY,Baytown,$35217.56,$29484.75,19.44%,$69955.15,$59275.02,18.02%,2,2013,"QUARTERLY"""
CITY,Humble,$76923.13,$71066.04,8.24%,$76923.13,$71066.04,8.24%,1,2015,"QUARTERLY"""
CITY,Wixon Valley,$350.37,$0.00,0%,$350.37,$0.00,0%,4,2014,"QUARTERLY"""
CITY,Rockport,$9206.30,$6166.37,49.3%,$9206.30,$6166.37,49.3%,1,2014,"QUARTERLY"""
COUNTY,Goliad,$1531.90,$29.35,5119.42%,$1531.90,$29.35,5119.42%,1,2015,"QUARTERLY"""
CITY,Southlake,$89591.10,$85678.41,4.57%,$89591.10,$85678.41,4.57%,1,2015,"QUARTERLY"""
COUNTY,Limestone,$1818.33,$1766.84,2.91%,$6640.29,$6126.17,8.39%,3,2015,"QUARTERLY"""
CITY,Princeton,$630.82,$592.06,6.55%,$630.82,$592.06,6.55%,1,2015,"QUARTERLY"""
CITY,Hughes Springs,$319.49,$270.35,18.18%,$671.08,$421.47,59.22%,2,2015,"QUARTERLY"""
COUNTY,Robertson,$633.02,$427.34,48.13%,$1861.22,$1455.22,27.9%,3,2013,"QUARTERLY"""
CITY,Clear Lake Shores,$7848.78,$7333.49,7.03%,$22560.96,$21569.69,4.6%,3,2015,"QUARTERLY"""
CITY,Brownsville,$73203.82,$54921.54,33.29%,$260598.43,$226181.11,15.22%,4,2013,"QUARTERLY"""
CITY,Lancaster,$3824.32,$4011.02,-4.65%,$3824.32,$4011.02,-4.65%,1,2013,"QUARTERLY"""
CITY,Canyon,$1858.70,$1921.21,-3.25%,$3725.88,$3475.95,7.19%,2,2014,"QUARTERLY"""
COUNTY,Bee,$7208.97,$7575.43,-4.84%,$14799.18,$15446.65,-4.19%,2,2013,"QUARTERLY"""
COUNTY,Randall,$57677.69,$52124.35,10.65%,$57677.69,$52124.35,10.65%,1,2015,"QUARTERLY"""
CITY,Devine,$499.54,$568.58,-12.14%,$1809.26,$2012.89,-10.12%,4,2014,"QUARTERLY"""
COUNTY,Young,$4636.00,$3985.05,16.33%,$18060.17,$13948.23,29.48%,4,2014,"QUARTERLY"""
CITY,Horseshoe Bay,$18953.94,$19276.79,-1.67%,$75248.25,$83474.87,-9.86%,4,2015,"QUARTERLY"""
COUNTY,Travis,$1566444.21,$1461379.16,7.19%,$1566444.21,$1461379.16,7.19%,1,2013,"QUARTERLY"""
CITY,Honey Grove,$0.00,$769.27,-100%,$0.00,$801.88,-100%,2,2016,"QUARTERLY"""
CITY,Honey Grove,$0.00,$769.27,-100%,$0.00,$801.88,-100%,2,2016,"QUARTERLY"""
COUNTY,Hopkins,$9699.08,$8122.42,19.41%,$26800.13,$22875.21,17.16%,3,2014,"QUARTERLY"""
CITY,Union Valley,$1158.65,$0.00,0%,$3493.07,$1022.29,241.69%,4,2014,"QUARTERLY"""
CITY,Pottsboro,$581.74,$438.83,32.57%,$935.15,$647.78,44.36%,2,2014,"QUARTERLY"""
CITY,Waller,$785.53,$809.58,-2.97%,$2302.42,$2354.13,-2.2%,3,2015,"QUARTERLY"""
CITY,Bellmead,$1014.51,$2082.34,-51.28%,$5376.19,$8250.22,-34.84%,4,2015,"QUARTERLY"""
COUNTY,Bandera,$3310.77,$2223.71,48.88%,$5696.03,$3983.58,42.99%,2,2013,"QUARTERLY"""
CITY,Howardwick,$137.34,$131.33,4.58%,$302.19,$522.55,-42.17%,3,2013,"QUARTERLY"""
CITY,Mclendon Chisholm,$2.74,$7.63,-64.09%,$47.29,$25.05,88.78%,3,2015,"QUARTERLY"""
COUNTY,Brazoria,$100930.54,$83828.49,20.4%,$100930.54,$83828.49,20.4%,1,2013,"QUARTERLY"""
CITY,Taylor,$2352.26,$1424.39,65.14%,$8966.73,$3357.27,167.08%,4,2014,"QUARTERLY"""
CITY,Mathis,$0.00,$77.51,-100%,$0.00,$186.89,-100%,2,2015,"QUARTERLY"""
COUNTY,Hill,$7651.82,$6571.32,16.44%,$7651.82,$6571.32,16.44%,1,2015,"QUARTERLY"""
CITY,Reno ( Parker Co. ),$0.00,$2133.55,-100%,$0.00,$4926.14,-100%,2,2016,"QUARTERLY"""
CITY,Reno ( Parker Co. ),$0.00,$2133.55,-100%,$0.00,$4926.14,-100%,2,2016,"QUARTERLY"""
