Type,Name,Net Payment This Period,Comparable Payment Prior Year,Period Percent Change,Payment Year to Date,Prior Year Payment Year to Date,Year Percent Change,Report Period,Report Year,Report Period Type
CITY,Flatonia,$659.53,$615.33,7.18%,$659.53,$615.33,7.18%,1,2013,"QUARTERLY"""
COUNTY,Zavala,$1159.38,$1537.52,-24.59%,$2353.25,$2997.56,-21.49%,2,2013,"QUARTERLY"""
CITY,Pecos,$756.57,$1132.53,-33.2%,$756.57,$1132.53,-33.2%,1,2013,"QUARTERLY"""
CITY,Ingleside,$4291.05,$3897.21,10.11%,$8699.24,$8109.46,7.27%,2,2013,"QUARTERLY"""
CITY,Hickory Creek,$106.36,$1667.78,-93.62%,$2655.18,$5524.37,-51.94%,3,2015,"QUARTERLY"""
CITY,Alvin,$8051.65,$6322.39,27.35%,$19756.51,$19657.03,0.51%,3,2013,"QUARTERLY"""
CITY,Lavon,$20.57,$20.24,1.63%,$20.57,$20.24,1.63%,1,2013,"QUARTERLY"""
COUNTY,Newton,$162.33,$204.88,-20.77%,$555.66,$532.81,4.29%,3,2014,"QUARTERLY"""
CITY,West,$187.86,$0.00,0%,$445.85,$0.00,0%,3,2014,"QUARTERLY"""
COUNTY,Sutton,$336.88,$335.57,0.39%,$976.53,$1002.29,-2.57%,3,2013,"QUARTERLY"""
CITY,Del Rio,$17808.56,$14362.20,24%,$17808.56,$14362.20,24%,1,2014,"QUARTERLY"""
COUNTY,Dallas,$3783358.62,$3299219.69,14.67%,$3783358.62,$3299219.69,14.67%,1,2015,"QUARTERLY"""
COUNTY,Nacogdoches,$22829.41,$19227.82,18.73%,$83380.82,$80926.94,3.03%,4,2013,"QUARTERLY"""
CITY,Cameron,$707.88,$516.53,37.05%,$1463.68,$1106.93,32.23%,2,2014,"QUARTERLY"""
CITY,Midland,$116190.95,$102629.00,13.21%,$229478.04,$205170.44,11.85%,2,2013,"QUARTERLY"""
CITY,Lindale,$3659.21,$3130.83,16.88%,$10661.75,$8172.27,30.46%,3,2014,"QUARTERLY"""
COUNTY,Hays,$117207.73,$81643.54,43.56%,$300083.39,$245389.23,22.29%,3,2013,"QUARTERLY"""
CITY,Justin,$3252.60,$2828.44,15%,$12660.69,$10589.16,19.56%,4,2015,"QUARTERLY"""
CITY,Avinger,$245.42,$238.49,2.91%,$518.65,$360.27,43.96%,2,2015,"QUARTERLY"""
COUNTY,Baylor,$975.78,$818.36,19.24%,$1974.43,$1578.35,25.09%,2,2015,"QUARTERLY"""
CITY,Converse,$1350.92,$1238.66,9.06%,$2683.22,$2044.04,31.27%,2,2013,"QUARTERLY"""
CITY,Union Valley,$0.00,$1001.20,-100%,$1022.29,$3392.15,-69.86%,3,2013,"QUARTERLY"""
CITY,Camp Wood,$518.91,$665.74,-22.06%,$518.91,$665.74,-22.06%,1,2014,"QUARTERLY"""
COUNTY,Hill,$7003.13,$6863.28,2.04%,$20307.46,$18489.77,9.83%,3,2014,"QUARTERLY"""
CITY,Selma,$16471.43,$12180.75,35.23%,$16471.43,$12180.75,35.23%,1,2014,"QUARTERLY"""
COUNTY,Kinney,$166.55,$166.00,0.33%,$1038.45,$1326.38,-21.71%,4,2015,"QUARTERLY"""
COUNTY,Wheeler,$2263.48,$1757.27,28.81%,$5449.09,$5399.50,0.92%,3,2013,"QUARTERLY"""
COUNTY,Marion,$4850.10,$4679.70,3.64%,$19226.45,$18411.26,4.43%,4,2015,"QUARTERLY"""
COUNTY,Nolan,$2503.11,$2234.72,12.01%,$2503.11,$2234.72,12.01%,1,2015,"QUARTERLY"""
CITY,Wichita Falls,$63183.14,$49875.14,26.68%,$244035.80,$208518.15,17.03%,4,2013,"QUARTERLY"""
COUNTY,Coke,$86.16,$13.96,517.19%,$150.86,$13.96,980.66%,3,2014,"QUARTERLY"""
CITY,Mission,$16746.00,$20025.81,-16.38%,$34838.80,$39705.70,-12.26%,2,2016,"QUARTERLY"""
CITY,Mission,$16746.00,$20025.81,-16.38%,$34838.80,$39705.70,-12.26%,2,2016,"QUARTERLY"""
COUNTY,Trinity,$1441.29,$1234.72,16.73%,$4711.37,$3482.06,35.3%,3,2015,"QUARTERLY"""
CITY,Flower Mound,$47116.87,$33843.99,39.22%,$170715.53,$143165.62,19.24%,4,2015,"QUARTERLY"""
CITY,Frankston,$102.25,$172.66,-40.78%,$235.61,$393.01,-40.05%,2,2013,"QUARTERLY"""
COUNTY,Kendall,$14662.33,$10152.56,44.42%,$47685.07,$38478.86,23.93%,4,2013,"QUARTERLY"""
CITY,Gonzales,$3584.88,$2694.60,33.04%,$3584.88,$2694.60,33.04%,1,2014,"QUARTERLY"""
CITY,West Columbia,$295.95,$333.37,-11.22%,$1529.48,$822.00,86.07%,4,2014,"QUARTERLY"""
CITY,Linden,$538.18,$303.68,77.22%,$1015.99,$606.25,67.59%,2,2014,"QUARTERLY"""
CITY,Mineral Wells,$5889.02,$6137.36,-4.05%,$5889.02,$6137.36,-4.05%,1,2015,"QUARTERLY"""
CITY,Buda,$5453.55,$3481.93,56.62%,$12718.76,$9205.92,38.16%,3,2013,"QUARTERLY"""
CITY,Avinger,$273.23,$121.78,124.36%,$273.23,$121.78,124.36%,1,2015,"QUARTERLY"""
CITY,Lumberton,$425.55,$395.61,7.57%,$797.89,$829.64,-3.83%,2,2016,"QUARTERLY"""
CITY,Lumberton,$425.55,$395.61,7.57%,$797.89,$829.64,-3.83%,2,2016,"QUARTERLY"""
CITY,Surfside Beach,$2529.63,$2607.99,-3%,$7852.84,$6132.34,28.06%,3,2014,"QUARTERLY"""
CITY,White Settlement,$66.20,$186.27,-64.46%,$66.20,$186.27,-64.46%,1,2013,"QUARTERLY"""
COUNTY,El Paso,$613103.28,$608277.15,0.79%,$1172360.84,$1133604.76,3.42%,2,2015,"QUARTERLY"""
CITY,Alice,$8818.65,$9295.44,-5.13%,$29976.62,$26126.09,14.74%,3,2015,"QUARTERLY"""
CITY,Santa Fe,$3058.56,$2844.95,7.51%,$3058.56,$2844.95,7.51%,1,2016,"QUARTERLY"""
CITY,Lacy Lakeview,$2282.25,$2050.88,11.28%,$9520.37,$7783.07,22.32%,4,2014,"QUARTERLY"""
CITY,Bonham,$2416.06,$2126.29,13.63%,$8635.96,$8744.18,-1.24%,4,2013,"QUARTERLY"""
CITY,Corinth,$3913.88,$3182.27,22.99%,$13637.00,$11698.14,16.57%,4,2013,"QUARTERLY"""
CITY,Hudson Oaks,$2103.43,$1049.58,100.41%,$7654.66,$4617.75,65.77%,4,2015,"QUARTERLY"""
CITY,Jacksonville,$4088.13,$3725.28,9.74%,$19405.74,$16385.97,18.43%,4,2014,"QUARTERLY"""
CITY,Yorktown,$0.00,$0.00,0%,$0.00,$646.98,-100%,3,2014,"QUARTERLY"""
CITY,North Richland Hills,$29248.60,$26961.89,8.48%,$57115.54,$51218.39,11.51%,2,2013,"QUARTERLY"""
CITY,Robstown,$1131.72,$232.49,386.78%,$2517.26,$475.31,429.6%,2,2015,"QUARTERLY"""
COUNTY,Liberty,$9808.73,$10268.36,-4.48%,$49528.54,$38814.57,27.6%,4,2014,"QUARTERLY"""
COUNTY,Lamar,$15022.86,$14072.71,6.75%,$30792.80,$29228.60,5.35%,2,2016,"QUARTERLY"""
COUNTY,Lamar,$15022.86,$14072.71,6.75%,$30792.80,$29228.60,5.35%,2,2016,"QUARTERLY"""
CITY,Bellville,$998.03,$792.48,25.94%,$998.03,$792.48,25.94%,1,2013,"QUARTERLY"""
CITY,Krum,$355.93,$277.08,28.46%,$355.93,$277.08,28.46%,1,2014,"QUARTERLY"""
CITY,Mc Gregor,$999.07,$1123.29,-11.06%,$999.07,$1123.29,-11.06%,1,2015,"QUARTERLY"""
COUNTY,Coke,$0.00,$57.14,-100%,$150.86,$71.10,112.18%,4,2014,"QUARTERLY"""
COUNTY,Marion,$4663.95,$4819.04,-3.22%,$9770.61,$8851.06,10.39%,2,2015,"QUARTERLY"""
CITY,Lorena,$24.82,$30.73,-19.23%,$38.00,$64.87,-41.42%,2,2015,"QUARTERLY"""
COUNTY,Dallam,$328.88,$304.22,8.11%,$328.88,$304.22,8.11%,1,2013,"QUARTERLY"""
COUNTY,Terry,$59.65,$110.56,-46.05%,$59.65,$110.56,-46.05%,1,2016,"QUARTERLY"""
CITY,Hudson Oaks,$976.01,$1072.82,-9.02%,$976.01,$1072.82,-9.02%,1,2013,"QUARTERLY"""
CITY,Austin,$1957201.35,$1378036.23,42.03%,$5130958.10,$4318336.65,18.82%,3,2013,"QUARTERLY"""
COUNTY,Bosque,$1807.08,$1307.91,38.17%,$4541.10,$3708.48,22.45%,3,2013,"QUARTERLY"""
COUNTY,Hansford,$373.69,$427.96,-12.68%,$373.69,$427.96,-12.68%,1,2013,"QUARTERLY"""
CITY,Cranfills Gap,$875.08,$641.50,36.41%,$1655.09,$1244.93,32.95%,2,2014,"QUARTERLY"""
CITY,Wharton,$2498.09,$2152.10,16.08%,$6940.42,$5644.61,22.96%,3,2014,"QUARTERLY"""
CITY,Bastrop,$12961.79,$8720.04,48.64%,$25013.88,$17818.99,40.38%,2,2015,"QUARTERLY"""
COUNTY,Van Zandt,$8379.92,$5988.18,39.94%,$15150.81,$11926.38,27.04%,2,2014,"QUARTERLY"""
CITY,Texas City,$13007.38,$11874.89,9.54%,$25076.85,$24410.86,2.73%,2,2013,"QUARTERLY"""
CITY,Vega,$543.56,$801.07,-32.15%,$1676.06,$2016.34,-16.88%,3,2014,"QUARTERLY"""
CITY,Cotulla,$3162.46,$4580.46,-30.96%,$11724.88,$12688.10,-7.59%,3,2015,"QUARTERLY"""
CITY,Balcones Heights,$9150.09,$6521.69,40.3%,$18644.43,$14539.65,28.23%,2,2014,"QUARTERLY"""
CITY,Seven Points,$1633.99,$2854.52,-42.76%,$10133.05,$8528.49,18.81%,4,2014,"QUARTERLY"""
CITY,Corpus Christi,$258247.15,$242054.91,6.69%,$485745.86,$466801.25,4.06%,2,2013,"QUARTERLY"""
CITY,Trinity,$447.76,$294.41,52.09%,$1520.32,$1263.00,20.37%,4,2013,"QUARTERLY"""
CITY,Schulenburg,$1825.09,$983.79,85.52%,$1825.09,$983.79,85.52%,1,2014,"QUARTERLY"""
CITY,Rowlett,$16781.31,$16155.36,3.87%,$16781.31,$16155.36,3.87%,1,2015,"QUARTERLY"""
COUNTY,El Paso,$581493.50,$556171.57,4.55%,$1753854.34,$1689776.33,3.79%,3,2015,"QUARTERLY"""
CITY,Justin,$1959.51,$2245.19,-12.72%,$3926.09,$4559.41,-13.89%,2,2013,"QUARTERLY"""
CITY,Bridgeport,$722.25,$490.69,47.19%,$2137.81,$1664.53,28.43%,3,2013,"QUARTERLY"""
CITY,Brownwood,$8100.85,$7622.46,6.28%,$24488.70,$24037.13,1.88%,3,2015,"QUARTERLY"""
CITY,Ponder,$399.90,$275.61,45.1%,$399.90,$275.61,45.1%,1,2014,"QUARTERLY"""
COUNTY,Wise,$9534.61,$9781.34,-2.52%,$9534.61,$9781.34,-2.52%,1,2015,"QUARTERLY"""
COUNTY,Hansford,$478.88,$305.50,56.75%,$852.57,$733.46,16.24%,2,2013,"QUARTERLY"""
COUNTY,McLennan,$157185.95,$147910.49,6.27%,$300705.52,$304216.31,-1.15%,2,2016,"QUARTERLY"""
COUNTY,McLennan,$157185.95,$147910.49,6.27%,$300705.52,$304216.31,-1.15%,2,2016,"QUARTERLY"""
CITY,Woodway,$152.57,$151.41,0.77%,$256.58,$228.58,12.25%,2,2013,"QUARTERLY"""
CITY,Jacinto City,$1842.57,$1757.58,4.84%,$1842.57,$1757.58,4.84%,1,2015,"QUARTERLY"""
COUNTY,Washington,$7682.44,$7835.98,-1.96%,$7682.44,$7835.98,-1.96%,1,2013,"QUARTERLY"""
COUNTY,Collingsworth,$461.44,$494.50,-6.69%,$909.81,$991.12,-8.2%,2,2016,"QUARTERLY"""
COUNTY,Collingsworth,$461.44,$494.50,-6.69%,$909.81,$991.12,-8.2%,2,2016,"QUARTERLY"""
COUNTY,Hunt,$22610.44,$21739.61,4.01%,$89232.02,$88859.03,0.42%,4,2015,"QUARTERLY"""
COUNTY,Stephens,$1506.12,$1323.49,13.8%,$5894.72,$5718.26,3.09%,4,2013,"QUARTERLY"""
CITY,Nassau Bay,$3773.28,$3362.37,12.22%,$14760.86,$14767.70,-0.05%,4,2015,"QUARTERLY"""
CITY,Hickory Creek,$0.00,$1364.06,-100%,$2655.18,$6888.43,-61.45%,4,2015,"QUARTERLY"""
COUNTY,Kerr,$19135.76,$17371.38,10.16%,$78220.00,$65122.69,20.11%,4,2014,"QUARTERLY"""
CITY,Bee Cave,$26882.55,$22253.39,20.8%,$26882.55,$22253.39,20.8%,1,2016,"QUARTERLY"""
CITY,The Colony,$52205.73,$31698.90,64.69%,$52205.73,$31698.90,64.69%,1,2015,"QUARTERLY"""
CITY,Valley View,$114.96,$0.00,0%,$114.96,$0.00,0%,1,2016,"QUARTERLY"""
COUNTY,Henderson,$16292.16,$17067.55,-4.54%,$16292.16,$17067.55,-4.54%,1,2013,"QUARTERLY"""
CITY,Surfside Beach,$1646.63,$1701.50,-3.22%,$1646.63,$1701.50,-3.22%,1,2016,"QUARTERLY"""
CITY,Alvarado,$71.57,$215.76,-66.83%,$71.57,$215.76,-66.83%,1,2014,"QUARTERLY"""
CITY,Shenandoah,$62318.74,$62287.56,0.05%,$130355.21,$121027.58,7.71%,2,2015,"QUARTERLY"""
COUNTY,Uvalde,$6774.12,$6533.75,3.68%,$32633.27,$24994.70,30.56%,4,2014,"QUARTERLY"""
CITY,Round Rock,$124591.80,$84516.90,47.42%,$231300.27,$161702.89,43.04%,2,2014,"QUARTERLY"""
CITY,New Berlin,$0.00,$0.00,0%,$15.00,$20.42,-26.54%,4,2014,"QUARTERLY"""
COUNTY,Maverick,$9513.84,$8615.18,10.43%,$9513.84,$8615.18,10.43%,1,2014,"QUARTERLY"""
CITY,Big Lake,$638.24,$94.05,578.62%,$2104.63,$812.74,158.95%,4,2014,"QUARTERLY"""
CITY,Hudson Oaks,$1085.46,$1072.75,1.18%,$3016.36,$3267.50,-7.69%,3,2013,"QUARTERLY"""
CITY,Frankston,$0.00,$171.32,-100%,$375.76,$738.53,-49.12%,4,2013,"QUARTERLY"""
CITY,Pottsboro,$534.47,$547.32,-2.35%,$1361.66,$1482.47,-8.15%,3,2015,"QUARTERLY"""
COUNTY,Bosque,$3000.46,$3031.83,-1.03%,$12217.02,$9227.02,32.4%,4,2015,"QUARTERLY"""
CITY,Heath,$1937.90,$1711.59,13.22%,$5008.62,$4597.73,8.94%,3,2015,"QUARTERLY"""
CITY,Liberty,$2985.73,$2502.09,19.33%,$11602.00,$10684.28,8.59%,4,2013,"QUARTERLY"""
CITY,Pecos,$1244.36,$814.64,52.75%,$3101.93,$2864.04,8.31%,3,2013,"QUARTERLY"""
CITY,Reno ( Parker Co. ),$287.05,$2516.60,-88.59%,$8316.68,$9399.13,-11.52%,4,2015,"QUARTERLY"""
CITY,Eagle Lake,$527.95,$420.68,25.5%,$1117.51,$888.23,25.81%,2,2014,"QUARTERLY"""
COUNTY,Nolan,$2802.12,$2195.85,27.61%,$5305.23,$4430.57,19.74%,2,2015,"QUARTERLY"""
CITY,Port Lavaca,$6341.52,$4415.33,43.63%,$6341.52,$4415.33,43.63%,1,2015,"QUARTERLY"""
COUNTY,Andrews,$1081.55,$1588.04,-31.89%,$5853.22,$6409.18,-8.67%,4,2015,"QUARTERLY"""
COUNTY,Comanche,$751.01,$623.98,20.36%,$1318.26,$1146.75,14.96%,2,2013,"QUARTERLY"""
CITY,Glen Rose,$2733.06,$2485.14,9.98%,$4307.35,$3871.50,11.26%,2,2015,"QUARTERLY"""
CITY,Lockhart,$1349.56,$1425.66,-5.34%,$2484.36,$2730.02,-9%,2,2015,"QUARTERLY"""
COUNTY,Runnels,$356.28,$235.46,51.31%,$718.05,$504.46,42.34%,3,2014,"QUARTERLY"""
CITY,Kingsville,$13154.95,$13912.95,-5.45%,$25472.08,$26812.47,-5%,2,2016,"QUARTERLY"""
CITY,Kingsville,$13154.95,$13912.95,-5.45%,$25472.08,$26812.47,-5%,2,2016,"QUARTERLY"""
CITY,De Soto,$7586.87,$7658.27,-0.93%,$14344.71,$16172.73,-11.3%,2,2013,"QUARTERLY"""
CITY,Hico,$327.34,$302.35,8.27%,$963.32,$883.66,9.01%,3,2015,"QUARTERLY"""
CITY,La Feria,$466.77,$1045.09,-55.34%,$466.77,$1045.09,-55.34%,1,2016,"QUARTERLY"""
CITY,Odessa,$146755.03,$130354.69,12.58%,$435187.50,$330691.94,31.6%,3,2014,"QUARTERLY"""
COUNTY,Ellis,$49105.70,$42969.28,14.28%,$187506.63,$169976.75,10.31%,4,2015,"QUARTERLY"""
CITY,Liberty,$3333.22,$2432.30,37.04%,$3333.22,$2432.30,37.04%,1,2014,"QUARTERLY"""
CITY,Gun Barrel City,$7876.09,$6138.64,28.3%,$7876.09,$6138.64,28.3%,1,2014,"QUARTERLY"""
CITY,Corsicana,$13613.05,$12559.12,8.39%,$26268.28,$24228.67,8.42%,2,2016,"QUARTERLY"""
CITY,Corsicana,$13613.05,$12559.12,8.39%,$26268.28,$24228.67,8.42%,2,2016,"QUARTERLY"""
COUNTY,Hill,$6733.01,$5932.53,13.49%,$13304.33,$11626.49,14.43%,2,2014,"QUARTERLY"""
CITY,Chandler,$217.27,$84.75,156.37%,$217.27,$84.75,156.37%,1,2015,"QUARTERLY"""
CITY,Olmos Park,$4017.33,$1798.46,123.38%,$6588.30,$3501.74,88.14%,2,2014,"QUARTERLY"""
COUNTY,Starr,$2953.24,$3135.52,-5.81%,$13488.45,$13280.76,1.56%,4,2015,"QUARTERLY"""
COUNTY,Cass,$2689.19,$1569.73,71.32%,$5867.97,$5139.29,14.18%,3,2013,"QUARTERLY"""
CITY,Sachse,$4021.07,$3222.67,24.77%,$4021.07,$3222.67,24.77%,1,2013,"QUARTERLY"""
COUNTY,Fannin,$2800.33,$2932.46,-4.51%,$2800.33,$2932.46,-4.51%,1,2013,"QUARTERLY"""
COUNTY,Jefferson,$154052.39,$137310.86,12.19%,$631125.57,$503493.10,25.35%,4,2014,"QUARTERLY"""
CITY,Van Horn,$554.54,$360.50,53.83%,$554.54,$360.50,53.83%,1,2014,"QUARTERLY"""
CITY,Clute,$7340.32,$9584.58,-23.42%,$22552.93,$21102.41,6.87%,3,2015,"QUARTERLY"""
CITY,Memphis,$567.23,$290.26,95.42%,$961.76,$631.84,52.22%,2,2015,"QUARTERLY"""
CITY,Palmview,$208.28,$398.14,-47.69%,$941.71,$821.98,14.57%,2,2013,"QUARTERLY"""
COUNTY,Taylor,$82066.45,$71793.81,14.31%,$322054.22,$265874.77,21.13%,4,2014,"QUARTERLY"""
CITY,Throckmorton,$0.00,$0.00,0%,$0.00,$101.82,-100%,3,2014,"QUARTERLY"""
COUNTY,Haskell,$199.11,$511.53,-61.08%,$1465.11,$2182.39,-32.87%,4,2015,"QUARTERLY"""
COUNTY,Ward,$2417.75,$0.00,0%,$5768.60,$0.00,0%,3,2015,"QUARTERLY"""
CITY,Hondo,$513.19,$371.05,38.31%,$2862.35,$1691.57,69.21%,4,2014,"QUARTERLY"""
CITY,Domino,$973.94,$274.43,254.9%,$973.94,$274.43,254.9%,1,2014,"QUARTERLY"""
CITY,Wilmer,$684.54,$691.78,-1.05%,$1350.84,$1475.45,-8.45%,2,2013,"QUARTERLY"""
COUNTY,Lee,$1624.28,$1885.67,-13.86%,$5064.34,$5588.62,-9.38%,3,2015,"QUARTERLY"""
CITY,Addison,$297757.96,$273883.02,8.72%,$1200518.08,$1034741.57,16.02%,4,2015,"QUARTERLY"""
COUNTY,Leon,$2195.30,$1909.15,14.99%,$4224.49,$3436.41,22.93%,2,2015,"QUARTERLY"""
CITY,West,$86.72,$175.61,-50.62%,$729.25,$621.46,17.34%,4,2015,"QUARTERLY"""
CITY,League City,$51680.79,$46142.78,12%,$204641.04,$188832.11,8.37%,4,2015,"QUARTERLY"""
COUNTY,Nacogdoches,$25704.66,$25977.62,-1.05%,$50479.78,$50357.05,0.24%,2,2016,"QUARTERLY"""
COUNTY,Nacogdoches,$25704.66,$25977.62,-1.05%,$50479.78,$50357.05,0.24%,2,2016,"QUARTERLY"""
COUNTY,Parmer,$13.46,$34.22,-60.67%,$59.68,$257.40,-76.81%,4,2014,"QUARTERLY"""
CITY,Forest Hill,$1.70,$5.62,-69.75%,$1.70,$5.62,-69.75%,1,2016,"QUARTERLY"""
COUNTY,Jones,$1094.78,$1082.77,1.11%,$2228.29,$2225.00,0.15%,2,2013,"QUARTERLY"""
CITY,Stephenville,$9835.77,$10015.70,-1.8%,$9835.77,$10015.70,-1.8%,1,2013,"QUARTERLY"""
CITY,Hedwig Village,$13748.66,$13355.00,2.95%,$42986.62,$40258.55,6.78%,3,2015,"QUARTERLY"""
COUNTY,Kinney,$423.15,$358.47,18.04%,$423.15,$358.47,18.04%,1,2013,"QUARTERLY"""
CITY,Bulverde,$381.93,$418.65,-8.77%,$645.51,$717.16,-9.99%,2,2016,"QUARTERLY"""
CITY,Bulverde,$381.93,$418.65,-8.77%,$645.51,$717.16,-9.99%,2,2016,"QUARTERLY"""
CITY,Pflugerville,$10476.72,$5882.43,78.1%,$18853.80,$11882.15,58.67%,2,2013,"QUARTERLY"""
COUNTY,Archer,$535.61,$421.64,27.03%,$535.61,$421.64,27.03%,1,2015,"QUARTERLY"""
CITY,Dell City,$68.84,$45.91,49.95%,$68.84,$45.91,49.95%,1,2014,"QUARTERLY"""
COUNTY,Montgomery,$543862.42,$500525.05,8.66%,$1042634.09,$950764.18,9.66%,2,2015,"QUARTERLY"""
CITY,Palmhurst,$0.00,$30.47,-100%,$0.00,$30.47,-100%,1,2013,"QUARTERLY"""
CITY,Muleshoe,$286.75,$209.62,36.8%,$286.75,$209.62,36.8%,1,2016,"QUARTERLY"""
CITY,Hurst,$28858.82,$23202.92,24.38%,$28858.82,$23202.92,24.38%,1,2014,"QUARTERLY"""
CITY,Galveston,$178521.72,$176785.68,0.98%,$804119.79,$773188.27,4%,4,2015,"QUARTERLY"""
CITY,Carthage,$1834.38,$1770.79,3.59%,$5732.92,$4231.81,35.47%,3,2014,"QUARTERLY"""
COUNTY,Jeff Davis,$544.37,$510.29,6.68%,$544.37,$510.29,6.68%,1,2016,"QUARTERLY"""
CITY,Columbus,$2468.97,$1762.97,40.05%,$9012.21,$7034.69,28.11%,4,2013,"QUARTERLY"""
CITY,Bertram,$562.45,$292.66,92.19%,$1424.92,$979.17,45.52%,3,2013,"QUARTERLY"""
CITY,Lumberton,$434.03,$415.02,4.58%,$434.03,$415.02,4.58%,1,2015,"QUARTERLY"""
COUNTY,Hardin,$5537.30,$4574.92,21.04%,$14329.57,$9918.04,44.48%,3,2014,"QUARTERLY"""
CITY,Muleshoe,$327.65,$379.83,-13.74%,$614.40,$589.45,4.23%,2,2016,"QUARTERLY"""
CITY,Muleshoe,$327.65,$379.83,-13.74%,$614.40,$589.45,4.23%,2,2016,"QUARTERLY"""
COUNTY,Brazoria,$151196.32,$120117.52,25.87%,$151196.32,$120117.52,25.87%,1,2015,"QUARTERLY"""
COUNTY,Gregg,$59078.22,$57624.95,2.52%,$179610.79,$148429.78,21.01%,3,2014,"QUARTERLY"""
COUNTY,Chambers,$5680.00,$5803.55,-2.13%,$17939.50,$18062.11,-0.68%,3,2015,"QUARTERLY"""
CITY,Crockett,$1203.80,$1202.75,0.09%,$2453.12,$2504.49,-2.05%,2,2013,"QUARTERLY"""
CITY,Hideaway,$1160.24,$1073.46,8.08%,$2043.00,$2021.36,1.07%,2,2016,"QUARTERLY"""
CITY,Hideaway,$1160.24,$1073.46,8.08%,$2043.00,$2021.36,1.07%,2,2016,"QUARTERLY"""
CITY,White Deer,$863.02,$0.00,0%,$1756.59,$0.00,0%,4,2015,"QUARTERLY"""
COUNTY,Gray,$1997.08,$511.19,290.67%,$1997.08,$511.19,290.67%,1,2014,"QUARTERLY"""
COUNTY,Uvalde,$10761.69,$8951.56,20.22%,$25859.15,$18460.95,40.07%,3,2014,"QUARTERLY"""
CITY,Granite Shoals,$127.94,$122.36,4.56%,$127.94,$122.36,4.56%,1,2014,"QUARTERLY"""
CITY,Sonora,$332.99,$336.88,-1.15%,$853.92,$976.53,-12.56%,3,2014,"QUARTERLY"""
CITY,Lindale,$3961.43,$3216.77,23.15%,$14623.18,$11389.04,28.4%,4,2014,"QUARTERLY"""
CITY,Denton,$136061.94,$119825.20,13.55%,$535734.89,$424757.91,26.13%,4,2014,"QUARTERLY"""
CITY,Maypearl,$826.56,$702.11,17.73%,$1693.23,$1731.58,-2.21%,2,2016,"QUARTERLY"""
CITY,Maypearl,$826.56,$702.11,17.73%,$1693.23,$1731.58,-2.21%,2,2016,"QUARTERLY"""
CITY,Longview,$51990.87,$51371.20,1.21%,$212549.74,$207705.79,2.33%,4,2015,"QUARTERLY"""
COUNTY,Anderson,$8533.68,$10025.40,-14.88%,$17319.46,$18791.83,-7.84%,2,2015,"QUARTERLY"""
CITY,Cushing,$29.22,$36.32,-19.55%,$29.22,$36.32,-19.55%,1,2014,"QUARTERLY"""
COUNTY,Jeff Davis,$508.95,$567.28,-10.28%,$1986.80,$1612.34,23.22%,4,2013,"QUARTERLY"""
CITY,Kerrville,$17628.24,$15524.04,13.55%,$70765.69,$58026.12,21.95%,4,2014,"QUARTERLY"""
CITY,Coppell,$20019.77,$12306.88,62.67%,$34354.15,$21362.56,60.81%,2,2014,"QUARTERLY"""
CITY,Lindsay,$456.24,$890.51,-48.77%,$2401.86,$2825.90,-15.01%,3,2014,"QUARTERLY"""
CITY,Troup,$445.61,$401.68,10.94%,$1190.12,$1230.55,-3.29%,3,2013,"QUARTERLY"""
CITY,San Juan,$1076.69,$583.87,84.41%,$1958.00,$1709.73,14.52%,3,2013,"QUARTERLY"""
CITY,Oakwood,$342.09,$401.25,-14.74%,$737.23,$858.28,-14.1%,2,2015,"QUARTERLY"""
CITY,Westworth Village,$3114.06,$1678.38,85.54%,$6945.01,$2853.98,143.34%,2,2014,"QUARTERLY"""
CITY,Boerne,$5537.44,$7193.96,-23.03%,$27331.11,$26287.55,3.97%,4,2015,"QUARTERLY"""
COUNTY,Dimmit,$4574.11,$5285.68,-13.46%,$10019.56,$10195.36,-1.72%,2,2015,"QUARTERLY"""
CITY,Hudson,$965.46,$1109.81,-13.01%,$965.46,$1109.81,-13.01%,1,2013,"QUARTERLY"""
CITY,Eagle Pass,$8301.60,$10165.13,-18.33%,$8301.60,$10165.13,-18.33%,1,2016,"QUARTERLY"""
COUNTY,Callahan,$386.54,$392.80,-1.59%,$386.54,$392.80,-1.59%,1,2016,"QUARTERLY"""
CITY,Edinburg,$25404.41,$21211.61,19.77%,$70037.93,$66840.87,4.78%,3,2013,"QUARTERLY"""
COUNTY,Robertson,$1095.70,$600.07,82.6%,$1758.56,$1228.20,43.18%,2,2014,"QUARTERLY"""
CITY,Jonestown,$1728.03,$565.16,205.76%,$3096.43,$565.16,447.89%,2,2014,"QUARTERLY"""
CITY,Tomball,$15183.60,$16111.71,-5.76%,$66094.25,$63437.91,4.19%,4,2015,"QUARTERLY"""
CITY,Princeton,$1025.67,$817.80,25.42%,$2416.77,$3220.57,-24.96%,4,2014,"QUARTERLY"""
CITY,West Columbia,$346.01,$134.47,157.31%,$1233.53,$488.63,152.45%,3,2014,"QUARTERLY"""
CITY,Pleasanton,$7390.46,$3455.20,113.89%,$25852.41,$12298.29,110.21%,4,2013,"QUARTERLY"""
CITY,Stephenville,$16608.80,$15868.10,4.67%,$33331.95,$30569.78,9.04%,2,2016,"QUARTERLY"""
CITY,Stephenville,$16608.80,$15868.10,4.67%,$33331.95,$30569.78,9.04%,2,2016,"QUARTERLY"""
